Source,Target,SourceIndex,TargetIndex,ABIDE_I_Hedges_g,ABIDE_II_Hedges_g,ABIDE_I_AbsHedges_g,ABIDE_II_AbsHedges_g,MeanAbsHedges_g,ABIDE_I_QValue,ABIDE_II_QValue,ABIDE_I_Rank,ABIDE_II_Rank,SameDirection,Replicated,ReplicationClass,ReplicatedRank
ROI_014,ROI_026,13,25,-0.30030360245287685,-0.2216240820790125,0.30030360245287685,0.2216240820790125,0.26096384226594466,0.0010145993084037094,0.01197574551064913,86,392,True,True,replicated_ASD_reduced,53
ROI_014,ROI_027,13,26,-0.26428698750035123,-0.2509968104047017,0.26428698750035123,0.2509968104047017,0.2576418989525264,0.004098861124619159,0.004075084079799025,208,204,True,True,replicated_ASD_reduced,60
ROI_014,ROI_028,13,27,-0.32017862588069845,-0.19152044693932352,0.32017862588069845,0.19152044693932352,0.25584953641001096,0.000415017136832787,0.0321725808500271,55,717,True,True,replicated_ASD_reduced,63
ROI_017,ROI_077,16,76,-0.261889579949284,-0.17873579156782712,0.261889579949284,0.17873579156782712,0.22031268575855556,0.004384111820133937,0.04431865870917675,220,946,True,True,replicated_ASD_reduced,125
ROI_017,ROI_078,16,77,-0.33144300000032595,-0.1990060342047538,0.33144300000032595,0.1990060342047538,0.26522451710253986,0.00020092193500994047,0.02417018398713383,45,622,True,True,replicated_ASD_reduced,48
ROI_018,ROI_063,17,62,0.21364272582330168,0.21528486954396756,0.21364272582330168,0.21528486954396756,0.2144637976836346,0.026281590881682713,0.014240511158346613,526,446,True,True,replicated_ASD_enhanced,131
ROI_023,ROI_088,22,87,0.24449315795370744,0.1936614816358888,0.24449315795370744,0.1936614816358888,0.2190773197947981,0.009662864041627046,0.02948743855628224,290,696,True,True,replicated_ASD_enhanced,127
ROI_024,ROI_025,23,24,0.21740825951357415,0.18968377508186315,0.21740825951357415,0.18968377508186315,0.20354601729771865,0.02240148954488994,0.03399416520656659,496,743,True,True,replicated_ASD_enhanced,145
ROI_024,ROI_065,23,64,0.19575146496412,0.29256909186306823,0.19575146496412,0.29256909186306823,0.2441602784135941,0.04488093245417875,0.0005288544409419754,716,84,True,True,replicated_ASD_enhanced,86
ROI_024,ROI_067,23,66,0.20152138671101433,0.18757549891391484,0.20152138671101433,0.18757549891391484,0.19454844281246458,0.03822503933564883,0.035034999509215584,638,785,True,True,replicated_ASD_enhanced,157
ROI_025,ROI_024,24,23,0.2287252366556188,0.21420305273371074,0.2287252366556188,0.21420305273371074,0.22146414469466477,0.016147274542118874,0.014792830534279981,384,465,True,True,replicated_ASD_enhanced,124
ROI_025,ROI_067,24,66,0.21072169127231852,0.1792102275483608,0.21072169127231852,0.1792102275483608,0.19496595941033967,0.02804424162557799,0.04326255145960182,558,937,True,True,replicated_ASD_enhanced,154
ROI_026,ROI_013,25,12,-0.1934529039621436,-0.18884445891147142,0.1934529039621436,0.18884445891147142,0.19114868143680752,0.04942438138216158,0.0349253847031313,736,762,True,True,replicated_ASD_reduced,164
ROI_026,ROI_014,25,13,-0.242700009870324,-0.20149588523918913,0.242700009870324,0.20149588523918913,0.22209794755475656,0.01010269345809,0.023639905658482008,300,595,True,True,replicated_ASD_reduced,121
ROI_026,ROI_025,25,24,0.2002417693827613,0.18961440481555492,0.2002417693827613,0.18961440481555492,0.1949280870991581,0.04126833450737626,0.034757888325212545,651,745,True,True,replicated_ASD_enhanced,156
ROI_026,ROI_035,25,34,0.21690583886859446,0.3665120818396791,0.21690583886859446,0.3665120818396791,0.2917089603541368,0.022610545949694878,6.175196655807294e-06,501,15,True,True,replicated_ASD_enhanced,22
ROI_026,ROI_036,25,35,0.20980864398150628,0.29977842175502895,0.20980864398150628,0.29977842175502895,0.2547935328682676,0.02827365369726163,0.00034855458902373793,567,71,True,True,replicated_ASD_enhanced,68
ROI_026,ROI_067,25,66,0.3098849808661979,0.24329268541219798,0.3098849808661979,0.24329268541219798,0.27658883313919796,0.0006463959001566589,0.004807317405514234,69,250,True,True,replicated_ASD_enhanced,33
ROI_027,ROI_014,26,13,-0.217502473843725,-0.23180820484152762,0.217502473843725,0.23180820484152762,0.22465533934262633,0.022875789255224273,0.008193513133907222,495,315,True,True,replicated_ASD_reduced,118
ROI_028,ROI_014,27,13,-0.3024039258739975,-0.17738013599162084,0.3024039258739975,0.17738013599162084,0.23989203093280917,0.0010081174244410411,0.047452470603630684,81,971,True,True,replicated_ASD_reduced,96
ROI_028,ROI_064,27,63,-0.19657285980421504,-0.1805291239471483,0.19657285980421504,0.1805291239471483,0.18855099187568167,0.04474486268333543,0.04431805955566864,704,902,True,True,replicated_ASD_reduced,167
ROI_029,ROI_012,28,11,0.20070043952515848,0.18582265692464556,0.20070043952515848,0.18582265692464556,0.19326154822490202,0.03978990085910644,0.03671589177990128,647,820,True,True,replicated_ASD_enhanced,158
ROI_030,ROI_023,29,22,-0.19954461370877863,-0.21951471766870614,0.19954461370877863,0.21951471766870614,0.20952966568874237,0.04230193837314035,0.012808899214823206,660,412,True,True,replicated_ASD_reduced,139
ROI_032,ROI_035,31,34,0.21035465576439882,0.24645003316907796,0.21035465576439882,0.24645003316907796,0.2284023444667384,0.029074902656634153,0.004409273738400697,560,228,True,True,replicated_ASD_enhanced,111
ROI_032,ROI_036,31,35,0.22707907827522186,0.2864535321380337,0.22707907827522186,0.2864535321380337,0.2567663052066278,0.01586760161728425,0.0006960320671799636,411,99,True,True,replicated_ASD_enhanced,62
ROI_034,ROI_059,33,58,-0.22788955820070117,-0.21525939766782742,0.22788955820070117,0.21525939766782742,0.2215744779342643,0.016933497405565552,0.014269907891440598,396,447,True,True,replicated_ASD_reduced,123
ROI_034,ROI_069,33,68,-0.21153907443986533,-0.21034509136507085,0.21153907443986533,0.21034509136507085,0.21094208290246808,0.026281590881682713,0.016364262236027355,551,502,True,True,replicated_ASD_reduced,137
ROI_034,ROI_070,33,69,-0.2417820992780086,-0.1806464095504781,0.2417820992780086,0.1806464095504781,0.21121425441424335,0.009851426023690837,0.04326255145960182,306,900,True,True,replicated_ASD_reduced,135
ROI_035,ROI_068,34,67,0.19638184147506815,0.1884810925910764,0.19638184147506815,0.1884810925910764,0.1924314670330723,0.0436174127356128,0.034089720644297564,705,770,True,True,replicated_ASD_enhanced,162
ROI_035,ROI_081,34,80,-0.20489144176261687,-0.22016991598589017,0.20489144176261687,0.22016991598589017,0.21253067887425353,0.03529271985052005,0.01197574551064913,608,406,True,True,replicated_ASD_reduced,133
ROI_036,ROI_032,35,31,0.20198678218490665,0.2947165746575058,0.20198678218490665,0.2947165746575058,0.2483516784212062,0.034526991530430415,0.0004691385658093059,633,80,True,True,replicated_ASD_enhanced,78
ROI_036,ROI_035,35,34,0.23738905042187017,0.17899281638821202,0.23738905042187017,0.17899281638821202,0.20819093340504108,0.01109720070793532,0.04522830986710576,336,942,True,True,replicated_ASD_enhanced,141
ROI_036,ROI_057,35,56,-0.19315294191597246,-0.1867060081541801,0.19315294191597246,0.1867060081541801,0.1899294750350763,0.048787080690283584,0.03671589177990128,741,799,True,True,replicated_ASD_reduced,166
ROI_036,ROI_071,35,70,0.22509205699120174,0.17658783990012986,0.22509205699120174,0.17658783990012986,0.2008399484456658,0.016325537083301075,0.046008879233623984,432,985,True,True,replicated_ASD_enhanced,149
ROI_036,ROI_081,35,80,-0.25218625038793124,-0.29713925745287817,0.25218625038793124,0.29713925745287817,0.27466275392040473,0.007444134448256525,0.00044705069905996437,247,77,True,True,replicated_ASD_reduced,37
ROI_037,ROI_055,36,54,-0.23859752304032023,-0.3010985849052913,0.23859752304032023,0.3010985849052913,0.26984805397280576,0.01170416459446061,0.000320973508398349,328,70,True,True,replicated_ASD_reduced,44
ROI_037,ROI_085,36,84,-0.43607445386773275,-0.3247704602663682,0.43607445386773275,0.3247704602663682,0.38042245706705047,2.061051589319761e-07,8.13116170487968e-05,9,44,True,True,replicated_ASD_reduced,1
ROI_037,ROI_086,36,85,-0.2909275574935339,-0.26627532917321833,0.2909275574935339,0.26627532917321833,0.2786014433333761,0.0015274755626698022,0.0018221690658175218,111,148,True,True,replicated_ASD_reduced,28
ROI_037,ROI_089,36,88,-0.2662705206156987,-0.24529565442561177,0.2662705206156987,0.24529565442561177,0.25578308752065526,0.003932750859835545,0.004700486136375771,196,236,True,True,replicated_ASD_reduced,64
ROI_038,ROI_055,37,54,-0.24623243155188618,-0.216523042062493,0.24623243155188618,0.216523042062493,0.2313777368071896,0.009179348877097277,0.013658826992240677,276,434,True,True,replicated_ASD_reduced,105
ROI_038,ROI_085,37,84,-0.36658139501218107,-0.19594507260507713,0.36658139501218107,0.19594507260507713,0.2812632338086291,2.5334411262949723e-05,0.027379077098065092,28,664,True,True,replicated_ASD_reduced,27
ROI_038,ROI_086,37,85,-0.45718645965378346,-0.278232032539504,0.45718645965378346,0.278232032539504,0.36770924609664374,5.167112676134804e-08,0.0009768074587351648,5,121,True,True,replicated_ASD_reduced,6
ROI_038,ROI_088,37,87,-0.29114538148079305,-0.1916073782894904,0.29114538148079305,0.1916073782894904,0.2413763798851417,0.0016551566148276943,0.03155872962095662,107,715,True,True,replicated_ASD_reduced,92
ROI_038,ROI_089,37,88,-0.28600859824254804,-0.2163192345574316,0.28600859824254804,0.2163192345574316,0.2511639163999898,0.0020037124298347853,0.013874363509821868,123,438,True,True,replicated_ASD_reduced,75
ROI_038,ROI_090,37,89,-0.32739258464018833,-0.19791245396340695,0.32739258464018833,0.19791245396340695,0.26265251930179767,0.00030486879480503203,0.02507177836797714,51,637,True,True,replicated_ASD_reduced,51
