Source,Target,SourceIndex,TargetIndex,ABIDE_I_Hedges_g,ABIDE_II_Hedges_g,ABIDE_I_AbsHedges_g,ABIDE_II_AbsHedges_g,MeanAbsHedges_g,ABIDE_I_QValue,ABIDE_II_QValue,ABIDE_I_Rank,ABIDE_II_Rank,SameDirection,Replicated,ReplicationClass,ReplicatedRank
ROI_050,ROI_077,49,76,-0.14124650812001308,-0.025798784637921932,0.14124650812001308,0.025798784637921932,0.0835226463789675,0.17608238904841977,0.8128675628138102,1667,6762,True,False,not_replicated,
ROI_050,ROI_078,49,77,-0.07149302302169579,-0.09040558573512258,0.07149302302169579,0.09040558573512258,0.08094930437840919,0.5531346716952006,0.34206208021168577,4209,3687,True,False,not_replicated,
ROI_050,ROI_079,49,78,0.09101017470155277,-0.11733733976673848,0.09101017470155277,0.11733733976673848,0.10417375723414563,0.43222828472002073,0.2022739740357704,3346,2642,False,False,not_replicated,
ROI_050,ROI_080,49,79,-0.00868126472824515,-0.06626226479330828,0.00868126472824515,0.06626226479330828,0.03747176476077672,0.956737012377828,0.5048465731038269,7520,4760,True,False,not_replicated,
ROI_050,ROI_081,49,80,0.10006466620083074,-0.1617521896747134,0.10006466620083074,0.1617521896747134,0.13090842793777208,0.3766929994943098,0.07078959458928537,3004,1315,False,False,not_replicated,
ROI_050,ROI_082,49,81,0.14840316321460179,-0.07522968463433943,0.14840316321460179,0.07522968463433943,0.11181642392447061,0.15662621229498697,0.4391718083342459,1489,4368,False,False,not_replicated,
ROI_050,ROI_083,49,82,0.1593914303193234,-0.04415434982233387,0.1593914303193234,0.04415434982233387,0.10177289007082864,0.12241864048108626,0.6756392865800521,1257,5823,False,False,not_replicated,
ROI_050,ROI_084,49,83,0.24665661634582578,-0.02847125605111259,0.24665661634582578,0.02847125605111259,0.13756393619846918,0.00844745822035743,0.7914816129521186,274,6646,False,False,not_replicated,
ROI_050,ROI_085,49,84,0.18325971283326054,-0.1527191334762181,0.18325971283326054,0.1527191334762181,0.1679894231547393,0.06484617656605277,0.09022766702142052,870,1551,False,False,not_replicated,
ROI_050,ROI_086,49,85,0.280254561286909,-0.041553964441249244,0.280254561286909,0.041553964441249244,0.16090426286407913,0.0022617467355056,0.695125699958871,141,5951,False,False,not_replicated,
ROI_050,ROI_087,49,86,0.057920267533579366,0.1296258160427081,0.057920267533579366,0.1296258160427081,0.09377304178814373,0.6441906383920329,0.15376384107731567,4878,2234,True,False,not_replicated,
ROI_050,ROI_088,49,87,0.15971494964607974,-0.05165279272322339,0.15971494964607974,0.05165279272322339,0.10568387118465156,0.12316895137320828,0.6169545944133782,1252,5452,False,False,not_replicated,
ROI_050,ROI_089,49,88,0.06982504010227877,0.04212479210622102,0.06982504010227877,0.04212479210622102,0.0559749161042499,0.5665560542765804,0.6909969709574001,4272,5925,True,False,not_replicated,
ROI_050,ROI_090,49,89,0.2686141757546728,0.11553464595080781,0.2686141757546728,0.11553464595080781,0.1920744108527403,0.0036494967153772135,0.2084100103242634,186,2711,True,False,not_replicated,
ROI_051,ROI_001,50,0,-0.02758952859735434,-0.01561045237127851,0.02758952859735434,0.01561045237127851,0.021599990484316427,0.8477139791907858,0.8942896681891999,6472,7229,True,False,not_replicated,
ROI_051,ROI_002,50,1,0.045798540221967624,0.12265018025020691,0.045798540221967624,0.12265018025020691,0.08422436023608726,0.729331800985847,0.17945756957205483,5500,2461,True,False,not_replicated,
ROI_051,ROI_003,50,2,-0.05806608586668509,-0.13878948293623136,0.05806608586668509,0.13878948293623136,0.09842778440145822,0.6448705082141353,0.12359128632671514,4870,1955,True,False,not_replicated,
ROI_051,ROI_004,50,3,0.0328085297504101,-0.09705611136695769,0.0328085297504101,0.09705611136695769,0.06493232055868389,0.8122974004723734,0.30570041936911896,6209,3402,False,False,not_replicated,
ROI_051,ROI_005,50,4,0.002070436976147564,-0.09829406256329709,0.002070436976147564,0.09829406256329709,0.050182249769722326,0.9890442649768428,0.3008130857084588,7902,3351,False,False,not_replicated,
ROI_051,ROI_006,50,5,0.06922692717424542,-0.056737346393660244,0.06922692717424542,0.056737346393660244,0.06298213678395283,0.5730951622515423,0.5769830419738965,4297,5207,False,False,not_replicated,
ROI_051,ROI_007,50,6,-0.039228803883995876,-0.10417012959346003,0.039228803883995876,0.10417012959346003,0.07169946673872796,0.7689395197836266,0.2651072799724569,5867,3132,True,False,not_replicated,
ROI_051,ROI_008,50,7,-0.02763659232604158,-0.049725751686931226,0.02763659232604158,0.049725751686931226,0.0386811720064864,0.8473167933438768,0.6312950155602742,6469,5542,True,False,not_replicated,
ROI_051,ROI_009,50,8,0.0034633300495616865,-0.120889011045151,0.0034633300495616865,0.120889011045151,0.062176170547356344,0.9824044209716447,0.18982929855807074,7822,2526,False,False,not_replicated,
ROI_051,ROI_010,50,9,0.06267011143560043,-0.09784938844241736,0.06267011143560043,0.09784938844241736,0.08025974993900889,0.6142660243256203,0.30241390539760493,4641,3361,False,False,not_replicated,
ROI_051,ROI_011,50,10,-0.08527492714330537,-0.13275273191103285,0.08527492714330537,0.13275273191103285,0.1090138295271691,0.4688799243574968,0.1432022452837077,3579,2136,True,False,not_replicated,
ROI_051,ROI_012,50,11,0.005711812525416248,0.02188283559634293,0.005711812525416248,0.02188283559634293,0.01379732406087959,0.9711086263519946,0.8438705249471482,7694,6940,True,False,not_replicated,
